- Storing feat: age_short, resolution: 10km, category: Unter18 (1) 
- Storing feat: age_short, resolution: 10km, category: a18bis29 (2) 
- Storing feat: age_short, resolution: 10km, category: a30bis49 (3) 
- Storing feat: age_short, resolution: 10km, category: a50bis64 (4) 
- Storing feat: age_short, resolution: 10km, category: a65undaelter (5) 
- Storing feat: age_long, resolution: 10km, category: Unter10 (1) 
- Storing feat: age_long, resolution: 10km, category: a10bis19 (2) 
- Storing feat: age_long, resolution: 10km, category: a20bis29 (3) 
- Storing feat: age_long, resolution: 10km, category: a30bis39 (4) 
- Storing feat: age_long, resolution: 10km, category: a40bis49 (5) 
- Storing feat: age_long, resolution: 10km, category: a50bis59 (6) 
- Storing feat: age_long, resolution: 10km, category: a60bis69 (7) 
- Storing feat: age_long, resolution: 10km, category: a70bis79 (8) 
- Storing feat: age_long, resolution: 10km, category: a80undaelter (9) 
- Storing feat: age_under_18, resolution: 10km, category: AnteilUnter18 (0) 
- Storing feat: age_from_65, resolution: 10km, category: AnteilUeber65 (0) 
- Storing feat: marital_status, resolution: 10km, category: Ledig (1) 
- Storing feat: marital_status, resolution: 10km, category: Verheiratet (2) 
- Storing feat: marital_status, resolution: 10km, category: Verwitwet (3) 
- Storing feat: marital_status, resolution: 10km, category: Geschieden (4) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartnerschaft (5) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartVerstorben (6) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartAufgehoben (7) 
- Storing feat: marital_status, resolution: 10km, category: OhneAngabe (8) 
- Storing feat: families, resolution: 10km, category: families (0) 
- Storing feat: family_type, resolution: 10km, category: Ehep_ohneKind (1) 
- Storing feat: family_type, resolution: 10km, category: Ehep_mind_1Kind_unter18 (2) 
- Storing feat: family_type, resolution: 10km, category: Ehep_Kinder_ab18 (3) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_ohneKind (4) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_mind_1Kind_unter18 (5) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_Kinder_ab18 (6) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_ohneKind (7) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_mind_1Kind_unter18 (8) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_Kinder_ab18 (9) 
- Storing feat: family_type, resolution: 10km, category: Vater_mind_1Kind_unter18 (10) 
- Storing feat: family_type, resolution: 10km, category: Vater_Kinder_ab18 (11) 
- Storing feat: family_type, resolution: 10km, category: Mutter_mind_1Kind_unter18 (12) 
- Storing feat: family_type, resolution: 10km, category: Mutter_Kinder_ab18 (13) 
- Storing feat: households, resolution: 10km, category: households (0) 
- Storing feat: household_size_avg, resolution: 10km, category: DurchschnHHGroesse (0) 
- Storing feat: household_size_group, resolution: 10km, category: 1_Person (1) 
- Storing feat: household_size_group, resolution: 10km, category: 2_Personen (2) 
- Storing feat: household_size_group, resolution: 10km, category: 3_Personen (3) 
- Storing feat: household_size_group, resolution: 10km, category: 4_Personen (4) 
- Storing feat: household_size_group, resolution: 10km, category: 5_Personen (5) 
- Storing feat: household_size_group, resolution: 10km, category: 6_Personen_und_mehr (6) 
- Storing feat: population, resolution: 10km, category: Einwohner (0) 
- Storing feat: citizens, resolution: 10km, category: Deutsche_ab18 (0) 
- Storing feat: foreigners, resolution: 10km, category: AnteilAuslaender (0) 
- Storing feat: foreigners_from_18, resolution: 10km, category: AnteilAuslaenderAb18 (0) 
- Storing feat: birth_country, resolution: 10km, category: Deutschland (1) 
- Storing feat: birth_country, resolution: 10km, category: Ausland_Sonstige (20) 
- Storing feat: birth_country, resolution: 10km, category: EU27_Land (21) 
- Storing feat: birth_country, resolution: 10km, category: Sonstiges_Europa (22) 
- Storing feat: birth_country, resolution: 10km, category: Sonstige_Welt (23) 
- Storing feat: birth_country, resolution: 10km, category: Sonstige (24) 
- Storing feat: citizenship, resolution: 10km, category: Deutschland (1) 
- Storing feat: citizenship, resolution: 10km, category: Ausland_Sonstige (2) 
- Storing feat: citizenship_group, resolution: 10km, category: Deutschland (1) 
- Storing feat: citizenship_group, resolution: 10km, category: Ausland_Sonstige (20) 
- Storing feat: citizenship_group, resolution: 10km, category: EU27_Land (21) 
- Storing feat: citizenship_group, resolution: 10km, category: Sonstiges_Europa (22) 
- Storing feat: citizenship_group, resolution: 10km, category: Sonstige_Welt (23) 
- Storing feat: citizenship_group, resolution: 10km, category: Sonstige (24) 
- Storing feat: age_avg, resolution: 10km, category: Durchschnittsalter (0) 
- Storing feat: age_short, resolution: 10km, category: Unter18 (1) 
- Storing feat: age_short, resolution: 10km, category: a18bis29 (2) 
- Storing feat: age_short, resolution: 10km, category: a30bis49 (3) 
- Storing feat: age_short, resolution: 10km, category: a50bis64 (4) 
- Storing feat: age_short, resolution: 10km, category: a65undaelter (5) 
- Storing feat: age_long, resolution: 10km, category: Unter10 (1) 
- Storing feat: age_long, resolution: 10km, category: a10bis19 (2) 
- Storing feat: age_long, resolution: 10km, category: a20bis29 (3) 
- Storing feat: age_long, resolution: 10km, category: a30bis39 (4) 
- Storing feat: age_long, resolution: 10km, category: a40bis49 (5) 
- Storing feat: age_long, resolution: 10km, category: a50bis59 (6) 
- Storing feat: age_long, resolution: 10km, category: a60bis69 (7) 
- Storing feat: age_long, resolution: 10km, category: a70bis79 (8) 
- Storing feat: age_long, resolution: 10km, category: a80undaelter (9) 
- Storing feat: age_under_18, resolution: 10km, category: AnteilUnter18 (0) 
- Storing feat: age_from_65, resolution: 10km, category: AnteilUeber65 (0) 
- Storing feat: marital_status, resolution: 10km, category: Ledig (1) 
- Storing feat: marital_status, resolution: 10km, category: Verheiratet (2) 
- Storing feat: marital_status, resolution: 10km, category: Verwitwet (3) 
- Storing feat: marital_status, resolution: 10km, category: Geschieden (4) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartnerschaft (5) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartVerstorben (6) 
- Storing feat: marital_status, resolution: 10km, category: EingetrLebenspartAufgehoben (7) 
- Storing feat: marital_status, resolution: 10km, category: OhneAngabe (8) 
- Storing feat: families, resolution: 10km, category: families (0) 
- Storing feat: family_type, resolution: 10km, category: Ehep_ohneKind (1) 
- Storing feat: family_type, resolution: 10km, category: Ehep_mind_1Kind_unter18 (2) 
- Storing feat: family_type, resolution: 10km, category: Ehep_Kinder_ab18 (3) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_ohneKind (4) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_mind_1Kind_unter18 (5) 
- Storing feat: family_type, resolution: 10km, category: EingetrLP_Kinder_ab18 (6) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_ohneKind (7) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_mind_1Kind_unter18 (8) 
- Storing feat: family_type, resolution: 10km, category: NichtehelLG_Kinder_ab18 (9) 
- Storing feat: family_type, resolution: 10km, category: Vater_mind_1Kind_unter18 (10) 
- Storing feat: family_type, resolution: 10km, category: Vater_Kinder_ab18 (11) 
- Storing feat: family_type, resolution: 10km, category: Mutter_mind_1Kind_unter18 (12) 
- Storing feat: family_type, resolution: 10km, category: Mutter_Kinder_ab18 (13) 
- Storing feat: households, resolution: 10km, category: households (0) 
- Storing feat: household_size_avg, resolution: 10km, category: DurchschnHHGroesse (0) 
- Storing feat: household_size_group, resolution: 10km, category: 1_Person (1) 
- Storing feat: household_size_group, resolution: 10km, category: 2_Personen (2) 
- Storing feat: household_size_group, resolution: 10km, category: 3_Personen (3) 
- Storing feat: household_size_group, resolution: 10km, category: 4_Personen (4) 
- Storing feat: household_size_group, resolution: 10km, category: 5_Personen (5) 
- Storing feat: household_size_group, resolution: 10km, category: 6_Personen_und_mehr (6) 
- Storing feat: population, resolution: 10km, category: Einwohner (0) 
- Storing feat: citizens, resolution: 10km, category: Deutsche_ab18 (0) 
- Storing feat: foreigners, resolution: 10km, category: AnteilAuslaender (0) 
- Storing feat: foreigners_from_18, resolution: 10km, category: AnteilAuslaenderAb18 (0) 
- Storing feat: birth_country, resolution: 10km, category: Deutschland (1) 
- Storing feat: birth_country, resolution: 10km, category: Ausland_Sonstige (20) 
- Storing feat: birth_country, resolution: 10km, category: EU27_Land (21) 
- Storing feat: birth_country, resolution: 10km, category: Sonstiges_Europa (22) 
- Storing feat: birth_country, resolution: 10km, category: Sonstige_Welt (23) 
- Storing feat: birth_country, resolution: 10km, category: Sonstige (24) 
- Storing feat: citizenship, resolution: 10km, category: Deutschland (1) 
- Storing feat: citizenship, resolution: 10km, category: Ausland_Sonstige (2) 
- Storing feat: citizenship_group, resolution: 10km, category: Deutschland (1) 
- Storing feat: citizenship_group, resolution: 10km, category: Ausland_Sonstige (20) 
- Storing feat: citizenship_group, resolution: 10km, category: EU27_Land (21) 
- Storing feat: citizenship_group, resolution: 10km, category: Sonstiges_Europa (22) 
- Storing feat: citizenship_group, resolution: 10km, category: Sonstige_Welt (23) 
- Storing feat: citizenship_group, resolution: 10km, category: Sonstige (24) 
- Storing feat: age_avg, resolution: 10km, category: Durchschnittsalter (0) 
